TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
265,0.009,0,0.002
266,0.012,0,0.005
267,0.019,0,0.005
268,0.005,0,0.004
269,0.01,0,0.004
270,0.026,0,0.001
271,0.006,0,0.004
272,0.003,0,0.002
273,0.009,0,0.003
274,0.015,0,0.004
275,0.008,0,0.005
276,0.004,0,0.004
277,0.014,0,0.01
278,0.01,0,0.006
279,0.007,0,0.003
280,0.009,0,0.005
281,0.014,0,0.002
282,0.01,0,0.004
283,0.006,0,0.005
284,0.005,0,0.005
285,0.01,0,0.003
286,0.006,0,0.002
287,0.008,0,0.007
288,0.005,0,0.007
289,0.006,0,0.005
290,0.02,0,0.003
291,0.012,0,0.012
292,0.004,0,0.005
293,0.005,0,0.002
294,0.005,0,0.006
295,0.008,0,0.005
296,0.008,0,0.005
297,0.003,0,0.004
298,0.008,0,0.005
299,0.015,0,0.011
300,0.006,0,0.004
301,0.014,0,0.007
302,0.013,0,0.008
303,0.009,0,0.003
304,0.013,0,0.005
305,0.017,0,0.005
306,0.011,0,0.005
307,0.009,0,0.008
308,0.011,0,0.003
309,0.011,0,0.007
310,0.015,0,0.005
311,0.01,0,0.004
312,0.01,0,0.004
313,0.01,0,0.005
314,0.01,0,0.006
315,0.01,0,0.005
316,0.007,0,0.003
317,0.015,0,0.008
318,0.011,0,0.006
319,0.012,0,0.006
320,0.009,0,0.007
321,0.015,0,0.006
322,0.014,0,0.008
323,0.01,0,0.004
324,0.009,0,0.004
325,0.006,0,0.006
326,0.01,0,0.006
327,0.013,0,0.007
328,0.015,0,0.004
329,0.013,0,0.006
330,0.011,0,0.002
331,0.011,0,0.004
332,0.014,0,0.004
333,0.012,0,0.005
334,0.01,0,0.004
335,0.009,0,0.004
336,0.009,0,0.006
337,0.013,0,0.005
338,0.014,0,0.008
339,0.013,0,0.006
340,0.01,0,0.004
341,0.009,0,0.01
342,0.008,0,0.003
343,0.009,0,0.006
344,0.008,0,0.003
345,0.01,0,0.006
346,0.008,0,0.006
347,0.014,0,0.005
348,0.007,0,0.006
349,0.004,0,0.004
350,0.012,0,0.004
351,0.012,0,0.006
352,0.009,0,0.004
353,0.02,0,0.01
354,0.011,0,0.006
355,0.007,0,0.004
356,0.007,0,0.005
357,0.012,0,0.008
358,0.009,0,0.005
359,0.008,0,0.009
360,0.009,0,0.005
361,0.009,0,0.005
362,0.012,0,0.012
363,0.008,0,0.005
364,0.018,0,0.01
365,0.006,0,0.004
366,0.008,0,0.006
367,0.012,0,0.007
368,0.005,0,0.004
369,0.013,0,0.007
370,0.01,0,0.005
371,0.015,0,0.006
372,0.01,0,0.006
373,0.01,0,0.008
374,0.015,0,0.004
375,0.013,0,0.005
376,0.009,0,0.007
377,0.011,0,0.008
378,0.009,0,0.005
379,0.027,0,0.006
380,0.01,0,0.005
381,0.006,0,0.007
382,0.01,0,0.006
383,0.009,0,0.004
384,0.009,0,0.003
385,0.014,0,0.006
386,0.011,0,0.009
387,0.01,0,0.005
388,0.008,0,0.005
389,0.014,0,0.01
390,0.016,0,0.014
391,0.012,0,0.009
392,0.009,0,0.004
393,0.01,0,0.001
394,0.007,0,0.003
395,0.01,0,0.002
396,0.009,0,0.007
397,0.007,0,0.004
398,0.009,0,0.008
399,0.011,0,0.009
400,0.01,0,0.004
