TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
227,0.364,0.269,0.106
228,0.369,0.268,0.108
229,0.361,0.276,0.107
230,0.364,0.262,0.103
231,0.356,0.288,0.108
232,0.364,0.273,0.106
233,0.367,0.275,0.111
234,0.376,0.277,0.109
235,0.374,0.284,0.109
236,0.374,0.287,0.118
237,0.369,0.272,0.109
238,0.371,0.284,0.109
239,0.388,0.29,0.113
240,0.372,0.289,0.116
241,0.371,0.284,0.105
242,0.382,0.301,0.119
243,0.371,0.275,0.111
244,0.358,0.263,0.102
245,0.365,0.273,0.106
246,0.367,0.276,0.104
247,0.368,0.298,0.123
248,0.369,0.285,0.108
249,0.37,0.273,0.118
250,0.377,0.282,0.107
251,0.379,0.29,0.126
252,0.378,0.285,0.105
253,0.373,0.259,0.101
254,0.375,0.278,0.093
255,0.381,0.287,0.111
256,0.371,0.291,0.121
257,0.377,0.276,0.108
258,0.371,0.285,0.12
259,0.371,0.286,0.106
260,0.373,0.273,0.113
261,0.371,0.269,0.108
262,0.371,0.29,0.113
263,0.369,0.281,0.106
264,0.365,0.272,0.098
265,0.374,0.292,0.122
266,0.375,0.279,0.118
267,0.371,0.284,0.105
268,0.375,0.275,0.099
269,0.364,0.28,0.114
270,0.367,0.264,0.111
271,0.375,0.266,0.102
272,0.372,0.259,0.103
273,0.367,0.268,0.103
274,0.383,0.276,0.113
275,0.377,0.289,0.109
276,0.367,0.279,0.125
277,0.364,0.277,0.118
278,0.363,0.269,0.104
279,0.379,0.288,0.115
280,0.392,0.269,0.101
281,0.368,0.269,0.109
282,0.382,0.304,0.122
283,0.38,0.286,0.112
284,0.366,0.276,0.109
285,0.368,0.279,0.105
286,0.372,0.271,0.113
287,0.37,0.281,0.103
288,0.373,0.279,0.116
289,0.384,0.304,0.114
290,0.363,0.276,0.109
291,0.367,0.278,0.109
292,0.369,0.281,0.117
293,0.364,0.278,0.093
294,0.365,0.264,0.109
295,0.361,0.281,0.113
296,0.372,0.296,0.111
297,0.389,0.273,0.104
298,0.367,0.267,0.1
299,0.364,0.279,0.113
300,0.377,0.284,0.113
301,0.35,0.268,0.117
302,0.354,0.283,0.114
303,0.352,0.264,0.098
304,0.345,0.248,0.091
305,0.358,0.256,0.094
306,0.339,0.271,0.092
307,0.353,0.276,0.095
308,0.34,0.246,0.095
309,0.365,0.273,0.104
310,0.335,0.266,0.091
311,0.333,0.279,0.09
312,0.351,0.27,0.099
313,0.355,0.282,0.104
314,0.339,0.247,0.099
315,0.356,0.273,0.114
316,0.354,0.276,0.099
317,0.354,0.263,0.102
318,0.341,0.264,0.109
319,0.358,0.273,0.085
320,0.348,0.245,0.098
321,0.36,0.255,0.107
322,0.368,0.271,0.112
323,0.353,0.254,0.1
324,0.348,0.272,0.095
325,0.367,0.266,0.099
326,0.363,0.271,0.117
327,0.347,0.284,0.108
328,0.35,0.262,0.091
329,0.35,0.252,0.101
330,0.348,0.272,0.105
331,0.366,0.275,0.114
