TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
227,0.128,0.32,0.107
228,0.099,0.29,0.107
229,0.094,0.289,0.101
230,0.124,0.335,0.129
231,0.096,0.275,0.079
232,0.102,0.284,0.082
233,0.113,0.297,0.117
234,0.117,0.325,0.134
235,0.107,0.307,0.131
236,0.079,0.273,0.112
237,0.099,0.316,0.113
238,0.108,0.287,0.097
239,0.112,0.31,0.111
240,0.136,0.301,0.109
241,0.108,0.323,0.129
242,0.091,0.299,0.103
243,0.125,0.305,0.092
244,0.109,0.297,0.092
245,0.096,0.327,0.123
246,0.102,0.302,0.095
247,0.088,0.27,0.08
248,0.102,0.3,0.126
249,0.101,0.307,0.117
250,0.103,0.298,0.122
251,0.096,0.314,0.134
252,0.107,0.29,0.1
253,0.107,0.332,0.156
254,0.116,0.3,0.096
255,0.1,0.285,0.079
256,0.097,0.324,0.152
257,0.087,0.294,0.115
258,0.095,0.308,0.113
259,0.123,0.332,0.137
260,0.108,0.314,0.144
261,0.091,0.283,0.079
262,0.08,0.288,0.083
263,0.122,0.307,0.129
264,0.112,0.299,0.111
265,0.098,0.309,0.101
266,0.093,0.291,0.102
267,0.124,0.336,0.186
268,0.088,0.294,0.098
269,0.102,0.324,0.12
270,0.108,0.303,0.106
271,0.119,0.303,0.116
272,0.12,0.3,0.136
273,0.126,0.312,0.144
274,0.115,0.338,0.105
275,0.118,0.329,0.146
276,0.102,0.329,0.142
277,0.118,0.27,0.097
278,0.096,0.297,0.112
279,0.112,0.314,0.13
280,0.103,0.291,0.104
281,0.116,0.291,0.094
282,0.124,0.324,0.11
283,0.116,0.324,0.119
284,0.106,0.302,0.103
285,0.116,0.333,0.15
286,0.091,0.302,0.107
287,0.106,0.325,0.134
288,0.093,0.303,0.103
289,0.101,0.271,0.097
290,0.108,0.287,0.097
291,0.096,0.296,0.104
292,0.127,0.313,0.103
293,0.098,0.316,0.098
294,0.121,0.294,0.137
295,0.103,0.306,0.112
296,0.134,0.317,0.136
297,0.081,0.293,0.101
298,0.107,0.299,0.123
299,0.097,0.307,0.126
300,0.121,0.328,0.135
301,0.104,0.308,0.102
302,0.117,0.299,0.106
303,0.131,0.323,0.136
304,0.117,0.296,0.11
305,0.104,0.326,0.105
306,0.107,0.301,0.1
307,0.111,0.314,0.129
308,0.116,0.335,0.128
309,0.106,0.294,0.09
310,0.1,0.317,0.13
311,0.106,0.311,0.102
312,0.111,0.32,0.103
313,0.116,0.314,0.099
314,0.118,0.321,0.115
315,0.103,0.3,0.113
316,0.121,0.327,0.121
317,0.105,0.296,0.092
318,0.101,0.304,0.124
319,0.094,0.299,0.109
320,0.118,0.331,0.114
321,0.111,0.32,0.125
322,0.1,0.307,0.104
323,0.1,0.291,0.099
324,0.095,0.3,0.113
325,0.106,0.31,0.121
326,0.103,0.293,0.117
327,0.122,0.339,0.14
328,0.103,0.314,0.121
329,0.116,0.32,0.117
330,0.115,0.301,0.102
331,0.109,0.313,0.12
332,0.103,0.313,0.11
333,0.095,0.303,0.108
334,0.108,0.309,0.117
335,0.112,0.33,0.139
336,0.108,0.319,0.099
337,0.107,0.339,0.13
338,0.091,0.313,0.107
339,0.099,0.312,0.107
340,0.102,0.316,0.112
341,0.121,0.318,0.129
342,0.091,0.276,0.082
343,0.112,0.324,0.116
344,0.125,0.32,0.125
345,0.11,0.317,0.095
346,0.103,0.359,0.143
347,0.104,0.304,0.106
348,0.092,0.312,0.117
349,0.098,0.301,0.105
350,0.111,0.31,0.115
351,0.107,0.313,0.119
352,0.103,0.306,0.102
353,0.099,0.321,0.144
354,0.106,0.314,0.125
355,0.109,0.315,0.11
356,0.108,0.311,0.102
357,0.097,0.314,0.116
358,0.124,0.343,0.169
359,0.097,0.31,0.117
360,0.094,0.315,0.112
361,0.092,0.313,0.107
362,0.098,0.299,0.095
363,0.092,0.321,0.125
364,0.113,0.337,0.121
365,0.093,0.289,0.095
366,0.105,0.303,0.1
367,0.106,0.3,0.104
368,0.111,0.317,0.123
369,0.114,0.3,0.1
370,0.111,0.321,0.114
371,0.11,0.302,0.117
372,0.103,0.329,0.139
373,0.1,0.314,0.109
374,0.098,0.306,0.113
375,0.116,0.309,0.112
376,0.101,0.316,0.11
377,0.109,0.322,0.122
378,0.11,0.331,0.124
379,0.1,0.336,0.137
380,0.098,0.315,0.108
381,0.098,0.315,0.122
382,0.116,0.327,0.139
383,0.107,0.328,0.116
384,0.117,0.324,0.116
385,0.099,0.312,0.097
386,0.1,0.307,0.104
387,0.107,0.32,0.102
388,0.084,0.304,0.108
389,0.108,0.33,0.118
390,0.095,0.29,0.09
391,0.099,0.314,0.11
392,0.095,0.314,0.112
393,0.119,0.311,0.129
394,0.098,0.294,0.091
395,0.103,0.319,0.144
396,0.108,0.314,0.111
397,0.098,0.301,0.094
398,0.104,0.327,0.113
399,0.111,0.302,0.104
400,0.103,0.32,0.118
