species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Solenopsis_picta,Myrmicinae,200.00,1,"King & Porter, 2007",0,20.56186486,5.822635135,20.92972973,0.292283784,107.0726622,67.59195946,94.31824324,0.647067568,11.78136486,1.402283784,11.74121622,0.119418919
Solenopsis_richteri,Myrmicinae,300000.00,1,"Bertelsmeier et al., 2013",1,18.24521212,4.230545455,18.3469697,0.246363636,90.1599697,53.57912121,81.62727273,0.661545455,11.80051515,1.333363636,11.79242424,0.112575758
Solenopsis_tennesseensis,Myrmicinae,200.00,1,"King & Porter, 2007",0,20.12744444,5.407233333,20.44166667,0.291311111,100.8414778,68.85351111,86.88611111,0.732544444,12.43393333,1.519777778,12.435,0.122311111
Strumigenys_dietrichi,Myrmicinae,50.00,1,"King & Porter, 2007",0,16.93695,7.25929,17.2915,0.47945,105.2454,59.13003,95.894,0.55964,12.12197,1.52516,12.114,0.12655
Strumigenys_eggersi,Myrmicinae,50.00,1,"King & Porter, 2007",0,23.57298077,1.684891026,23.78717949,0.073826923,142.4634487,95.04987821,126.0814103,0.686564103,10.17433974,1.156916667,10.05929487,0.112416667
Strumigenys_emarginata,Myrmicinae,199.00,1,"Beckers et al., 1989",0,21.26522222,2.479222222,21.65,0.127944444,84.86888889,66.41783333,72.85,0.828944444,11.88305556,1.8645,11.73611111,0.156
Strumigenys_lewisi,Myrmicinae,79.30,82,"Ohkawara et al., 2017",0,13.12904587,8.465412844,13.78899083,0.702807339,130.646211,100.971156,99.97981651,0.807293578,9.263623853,1.380954128,9.286238532,0.149018349
Strumigenys_louisianae,Myrmicinae,90.00,1,"King & Porter, 2007",0,20.02526608,4.549119734,20.24955654,0.248605322,123.5102838,76.42768958,110.0325942,0.635771619,11.50394457,1.33867184,11.43015521,0.115769401
Strumigenys_lujae,Myrmicinae,57.00,1,"Beckers et al., 1989",0,22.6144717,1.305226415,22.75188679,0.060245283,116.4287736,83.65373585,105.9462264,0.742150943,10.479,1.413735849,10.34811321,0.135226415
Strumigenys_mutica,Myrmicinae,72.00,1,"Geraghty et al., 2007",0,16.0824,6.4568,16.535,0.467133333,167.2725333,111.4889,142.0833333,0.676433333,8.295766667,1.198433333,8.29,0.145
