species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Pogonomyrmex_inermis,Myrmicinae,432.67,3,"Holbrook et al., 2007; Behrmann et al., 2010",0,15.5238,5.3798,15.66,0.35836,36.04984,32.29472,27.314,0.94996,13.75276,1.247,13.836,0.09144
Pogonomyrmex_laticeps,Myrmicinae,45.00,1,"Holldobler & Wilson, 1990",0,16.75359259,5.267,17.32962963,0.322740741,34.75618519,33.876,23.17777778,0.978296296,14.00114815,1.558,13.97777778,0.111037037
Pogonomyrmex_lobatus,Myrmicinae,2000.00,1,"Antwiki, 2020",1,18.77357895,4.628105263,18.75526316,0.248947368,85.26636842,54.03389474,74.91315789,0.675947368,11.83515789,1.195368421,11.87105263,0.101105263
Pogonomyrmex_magnacanthus,Myrmicinae,162.50,1,"Kaspari & Vargo, 1995",0,18.62463636,7.564,18.27727273,0.426863636,15.24586364,18.51631818,8.320454545,1.232159091,15.68584091,1.748522727,15.82045455,0.111931818
Pogonomyrmex_mendozanus,Myrmicinae,615.00,2,"Behrmann et al., 2010",0,16.7912,5.8176,17.02,0.3477,19.8353,22.0874,12.245,1.1492,14.5317,1.0796,14.64,0.0744
Pogonomyrmex_montanus,Myrmicinae,1665.00,70,"Kaspari & Vargo, 1995",0,15.26877778,5.783222222,14.58333333,0.384777778,29.78044444,41.32522222,12.82222222,1.388111111,14.506,1.982,14.63333333,0.138777778
Pogonomyrmex_occidentalis,Myrmicinae,2937.00,44,"Holldobler & Wilson, 1990; Lavigne, 1969",0,9.990979058,8.627703316,10.08106457,3.631425829,34.48470506,28.53458464,26.70296684,0.827776614,16.13431239,2.20490925,16.16300175,0.138020942
Pogonomyrmex_rastratus,Myrmicinae,997.00,2,"Behrmann et al., 2010",0,13.60341667,5.066694444,13.89861111,0.391194444,28.96647222,27.82133333,20.10694444,0.9755,14.07644444,1.502083333,14.15,0.106111111
Pogonomyrmex_salinus,Myrmicinae,2913.32,37,"Porter & Jorgensen, 1981; Gaglio et al., 1998",0,8.372591195,8.312257862,8.144025157,1.174654088,28.05556604,22.34472327,22.73805031,0.784477987,15.52399371,3.12909434,15.62106918,0.204660377
Pogonomyrmex_subnitidus,Myrmicinae,5934.00,26,"Kaspari & Vargo, 1995",0,13.7444,6.282644444,13.23888889,0.499333333,30.23237778,39.38957778,14.17555556,1.275355556,14.655,2.099733333,14.78444444,0.142911111
Proceratium_pergandei,Proceratiinae,26.50,2,"Geraghty et al., 2007; King & Porter, 2007",0,15.99923577,7.652439024,16.34146341,0.526463415,99.74760163,54.37543089,91.47195122,0.553406504,12.33760163,1.523764228,12.33130081,0.124081301
Proformica_korbi,Formicinae,133.00,2,"Tinaut et al., 2010",1,8.597117647,8.560941176,9.091176471,1.246294118,45.98817647,29.11694118,42.46470588,0.657470588,11.90047059,2.791470588,11.94705882,0.235705882
Solenopsis_fugax,Myrmicinae,250000.00,1,GAGA consortium,0,10.54150806,6.913602823,10.50877016,0.866360887,64.77087903,36.65387097,58.87116935,0.580504032,9.250415323,2.002290323,9.525907258,0.218197581
Solenopsis_nickersoni,Myrmicinae,200.00,1,"King & Porter, 2007",0,21.9196129,4.746709677,22.37096774,0.218548387,114.1662581,76.61448387,99.64354839,0.671870968,11.51235484,1.408774194,11.50322581,0.122645161
Solenopsis_pergandei,Myrmicinae,10000.00,1,"King & Porter, 2007",0,19.09121667,6.252733333,19.31166667,0.340816667,107.7126333,62.61068333,98.05166667,0.60525,12.57688333,1.471633333,12.56,0.117733333
Solenopsis_tonsa,Myrmicinae,200.00,1,"King & Porter, 2007",0,20.10423077,6.008692308,20.33461538,0.300384615,119.8858462,68.65938462,110.4538462,0.575076923,12.06923077,1.467461538,12.08461538,0.121846154
Stenamma_brevicorne,Myrmicinae,70.00,10,"Kaspari & Vargo, 1995",0,9.746687898,9.435140127,10.23375796,1.071719745,81.73951592,39.5372293,76.08375796,0.492210191,11.49352229,1.779923567,11.62929936,0.156038217
Stenamma_debile,Myrmicinae,56.00,1,"Seifert, 2017",0,10.28208284,6.137201183,10.07292899,0.746168639,67.68806805,37.79352959,61.78653846,0.563017751,8.34954142,1.91610355,8.552071006,0.229757396
Stenamma_diecki,Myrmicinae,41.00,7,"Holldobler & Wilson, 1990",0,8.386314554,8.24357277,8.683098592,1.423295775,79.69596714,51.32707981,67.78873239,0.689333333,12.4233662,2.175568075,12.52934272,0.178258216
Stenamma_impar,Myrmicinae,54.00,8,"Kaspari & Vargo, 1995",0,11.37588421,8.792578947,11.72842105,0.844315789,90.43836842,42.85402105,84.73210526,0.474368421,11.72908421,1.626652632,11.81368421,0.139863158
Stenamma_meridionale,Myrmicinae,15.00,2,"Kaspari & Vargo, 1995",0,14.08529167,8.240875,14.37708333,0.605416667,97.3953125,48.56820833,90.69583333,0.500666667,12.35695833,1.494770833,12.33854167,0.121833333
Stenamma_schmittii,Myrmicinae,121.00,4,"Kaspari & Vargo, 1995",0,10.74280952,8.926714286,11.1672619,0.924535714,90.99833333,42.43510714,85.58095238,0.466583333,11.58264286,1.689083333,11.68690476,0.147833333
Stigmatomma_pallipes,Amblyoponinae,12.08,38,"Traniello, 1982; Beckers et al., 1989",0,13.08980716,8.154829201,13.40977961,0.777236915,91.38703581,49.59887328,82.89669421,0.566856749,12.23621488,1.64931405,12.28856749,0.136140496
Stigmatomma_silvestrii,Amblyoponinae,12.24,91,"Masuko, 2003; Masuko, 2010",0,13.53838983,7.961067797,14.02118644,0.638983051,151.0159661,101.6085932,124.9830508,0.672135593,8.668542373,1.230508475,8.668644068,0.141288136
Strumigenys_clypeata,Myrmicinae,56.00,2,"Geraghty et al., 2007; King & Porter, 2007",0,16.89007317,7.256422764,17.19471545,0.470073171,104.8782114,57.01297561,96.35121951,0.542804878,12.24706504,1.479796748,12.22682927,0.121268293
Strumigenys_ornata,Myrmicinae,20.00,1,"Geraghty et al., 2007",0,16.99156757,7.284315315,17.24279279,0.45413964,107.5632748,57.46681081,99.18153153,0.53395045,12.43432883,1.48909009,12.40518018,0.120126126
Strumigenys_rostrata,Myrmicinae,72.00,1,"Geraghty et al., 2007",0,16.06910127,7.683044304,16.31550633,0.497272152,105.6200506,54.16263291,98.12563291,0.512189873,12.4788481,1.489974684,12.44620253,0.119651899
Strumigenys_talpa,Myrmicinae,50.00,1,"King & Porter, 2007",0,17.89273504,6.856051282,18.19145299,0.413786325,109.4686068,60.86845299,100.3504274,0.554700855,12.25938462,1.485555556,12.23547009,0.121529915
