valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Camponotus.vicinus,10.35141667,47.08167647,15.03155392,1,21678.86
Camponotus.yamaokai,16.537,189.483,8.296,1,30.8
Cardiocondyla.batesii,16.49163415,35.61021951,11.30636585,0,207.5
Cardiocondyla.elegans,13.87172222,56.39038889,10.39869444,0,204
Cardiocondyla.paradoxa,22.745,234.655,10.0574,0,50
Cardiocondyla.thoracica,24.74428571,221.6664286,9.832,0,70
Cardiocondyla.venustula,23.1004375,117.9289375,11.36125,0,100
Carebara.diversa,23.95509524,168.5344762,10.08861905,1,175600
Carebara.pygmaea,25.67088889,250.0814444,8.146111111,1,11000
Carebara.urichi,24.12582716,177.6504938,9.870592593,1,438.67
Cataglyphis.aenescens,7.5536875,34.4095625,11.745,1,900
Cataglyphis.bicolor,17.32902857,35.04602857,11.43342857,1,2000
Cataglyphis.bombycina,20.64790196,12.75156863,12.00952941,1,3106.9
Cataglyphis.emmae,19.9996875,12.6673125,11.9478125,1,485.71
Cataglyphis.floricola,17.69,50.04366667,10.245,0,127.7
Cataglyphis.holgerseni,24.42625,11.959,13.77375,1,3000
Cataglyphis.livida,21.7735,21.8341,12.71655,1,147
Cataglyphis.mauritanica,16.33394737,40.97147368,12.25015789,0,1500
Cataglyphis.piliscapa,11.1435,59.52925,10.0245,1,752.4
Cataglyphis.rosenhaueri,15.4526875,49.301875,11.37475,1,726
Cataglyphis.rubra,20.51153846,21.78561538,11.85615385,1,1400
Cataglyphis.sabulosa,21.92914286,16.39228571,12.36142857,0,185.72
Cataglyphis.savignyi,21.33365,16.912675,12.167775,1,536.2
Cataglyphis.tartessica,17.379,49.90375,11.421,0,154.3
Cataglyphis.velox,15.07478571,46.14560714,11.69217857,1,783.8
Cataglyphis.viatica,17.13261538,37.29092308,11.871,1,385.8
Centromyrmex.bequaerti,23.47510526,124.9131579,10.84052632,1,347.22
Centromyrmex.sellaris,24.1605,109.1532917,11.12266667,0,408
Cephalotes.persimilis,24.03627273,101.1355455,11.62618182,1,508
Cephalotes.rohweri,19.8468,31.3356,15.6258,1,191
Cephalotes.varians,24.90058333,112.6338333,9.990166667,1,1000
Cerapachys.sulcinodis,18.0066,178.0186,12.2272,0,133.33
Crematogaster.abstinens,23.81551852,141.7383333,10.20418519,0,1291
Crematogaster.ashmeadi,17.50022656,106.0149141,12.50519531,0,10000
Crematogaster.auberti,14.4457803,51.12768182,10.75725758,0,650
Crematogaster.biroi,20.942625,131.81675,11.423625,1,148.96
Crematogaster.dohrni,25.8056,165.9147,8.6372,0,31318.5
Crematogaster.elegans,22.296,555.016,13.924,0,300
Crematogaster.irritabilis,23.002,317.8625,14.9035,0,5000
Crematogaster.lineolata,14.54232345,77.74530997,13.21485984,0,200
Crematogaster.mimosae,26.40766667,16.279,13.49933333,0,6900
Crematogaster.minutissima,18.15953521,94.47014085,12.8265493,0,191
Crematogaster.osakensis,12.0997381,109.4423333,10.37342857,0,2292.6
Crematogaster.pygmaea,26.568,88.284,7.107,1,190
Crematogaster.scutellaris,14.63834762,53.98465714,10.36061429,0,178.5
Crematogaster.sordidula,14.1266,54.328,10.53690714,0,750
Crematogaster.sumichrasti,23.08415385,157.5470256,10.50725641,0,1000
Cryptopone.motschulskyi,23.92583333,257.992,10.4165,0,20
Cyphomyrmex.cornutus,24.659875,269.102875,8.1938125,0,2021.75
Cyphomyrmex.costatus,24.67152632,191.3208684,9.459447368,0,99.17
Cyphomyrmex.longiscapus,23.1582,280.1628,8.2424,0,55.34
Cyphomyrmex.minutus,24.13970833,149.2527708,10.0031875,0,150
Cyphomyrmex.rimosus,22.0054322,145.1638051,11.01912712,0,64.49
Dacetinops.cibdelus,23.488,224.061,10.29525,0,10
Daceton.armigerum,26.28210417,198.4075208,9.7353125,1,2650
Discothyrea.kamiteta,21.666,127.203,11.315,0,73
Dolichoderus.imitator,25.8262623,190.2548525,9.340278689,0,25
Dolichoderus.mariae,11.99528571,91.89742857,11.87408571,0,1041000
