species,subfamily,supercolonial,supercolonial.ref,social.parasite,social.parasite.ref,gamergates,gamergates.ref,interlineage.hybridisation.genetic.caste.determination,interlineage.hybridisation.genetic.caste.determination.ref,clonal,clonal.ref
Platythyrea_punctata,Ponerinae,0,,0,,1,"Hartmann et al., 2005",0,,1,"Rabeling & Kronauer, 2013"
Platythyrea_quadridenta,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Platythyrea_schultzei,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Platythyrea_tricuspidata,Ponerinae,0,,0,,1,"Ito, 1994",0,,0,
Pogonomyrmex_barbatus,Myrmicinae,0,,0,,0,,1,"Schwander et al., 2010",0,
Pogonomyrmex_rugosus,Myrmicinae,0,,0,,0,,1,"Schwander et al., 2010",0,
Polyergus_breviceps,Formicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Polyergus_lucidus,Formicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Polyergus_rufescens,Formicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Pristomyrmex_punctatus,Myrmicinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Pseudomyrmex_peperi,Pseudomyrmecinae,1,"Kautz et al., 2009",0,,0,,0,,0,
Pseudomyrmex_veneficus,Pseudomyrmecinae,1,"Helanterä, 2022",0,,0,,0,,0,
Pseudoneoponera_sublaevis,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Pseudoneoponera_tridentata,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Rhytidoponera_aurata,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Rhytidoponera_chalybaea,Ectatomminae,0,,0,,1,"Ward, 1983",0,,0,
Rhytidoponera_confusa,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008; Ward, 1983",0,,0,
Rhytidoponera_mayri,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Rhytidoponera_metallica,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Rossomyrmex_anatolicus,Formicinae,0,,1,"Tinaut et al., 2010",0,,0,,0,
Rossomyrmex_minuchae,Formicinae,0,,1,"Tinaut et al., 2010",0,,0,,0,
Rossomyrmex_quandratinodus,Formicinae,0,,1,"Tinaut et al., 2010",0,,0,,0,
Solenopsis_geminata,Myrmicinae,1,"Helanterä, 2022",0,,0,,1,"Schwander et al., 2010",0,
Solenopsis_invicta,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Stictoponera_menadensis,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Stigmatomma_reclinatum,Amblyoponinae,0,,0,,1,"Ito, 1993; Antwiki",0,,0,
Streblognathus_aethiopicus,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Streblognathus_peetersi,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Strongylognathus_testaceus,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Strumigenys_hexamera,Myrmicinae,0,,0,,0,,0,,1,"Masuko, 2013"
Strumigenys_membranifera,Myrmicinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Strumigenys_rogeri,Myrmicinae,0,,0,,0,,0,,1,"Lee et al., 2017"
Tapinoma_melanocephalum,Dolichoderinae,1,"Helanterä, 2022",0,,0,,0,,0,
Tapinoma_sessile,Dolichoderinae,1,"Helanterä, 2022",0,,0,,0,,0,
Technomyrmex_albipes,Dolichoderinae,1,"Helanterä, 2022",0,,0,,0,,0,
Temnothorax_americanus,Myrmicinae,0,,1,"Blatrix & Herbers, 2004",0,,0,,0,
Temnothorax_duloticus,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Temnothorax_minutissimus,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Temnothorax_tamarae,Myrmicinae,0,,1,"Gratiashvili et al., 2015",0,,0,,0,
Tetramorium_alpestre,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Thaumatomyrmex_atrox,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Thaumatomyrmex_contumax,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Vollenhovia_emeryi,Myrmicinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Vollenhovia_nipponica,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Wasmannia_auropunctata,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,1,"Rabeling & Kronauer, 2013"
,,,,,,,,,,,
